date;VVD;VVD.low;VVD.high;PVV;PVV.low;PVV.high;CDA;CDA.low;CDA.high;D66;D66.low;D66.high;GL;GL.low;GL.high;SP;SP.low;SP.high;PvdA;PvdA.low;PvdA.high;CU;CU.low;CU.high;PvdD;PvdD.low;PvdD.high;50PLUS;50PLUS.low;50PLUS.high;SGP;SGP.low;SGP.high;Denk;Denk.low;Denk.high;FvD;FvD.low;FvD.high;PvdT;PvdT.low;PvdT.high
2017-03-15;0.213;0.213;0.213;0.131;0.131;0.131;0.124;0.124;0.124;0.122;0.122;0.122;0.091;0.091;0.091;0.091;0.091;0.091;0.057;0.057;0.057;0.034;0.034;0.034;0.032;0.032;0.032;0.031;0.031;0.031;0.021;0.021;0.021;0.021;0.021;0.021;0.018;0.018;0.018;0;0;0
2017-03-16;0.212825453983925;0.208688239394076;0.216707228456155;0.131353699182411;0.128205478632657;0.134546291508291;0.123858213820583;0.121998125401913;0.125765166410392;0.122326985041758;0.120244126875017;0.124454868201771;0.0913820351661362;0.0897558051756509;0.0930685132816364;0.0908564393917062;0.0889013848112362;0.0928342552555458;0.0566532251075431;0.0548338607462922;0.0584776893509392;0.0341050985595214;0.0333013350274372;0.0349179760216019;0.032035498888795;0.0313931050073266;0.0326284098275377;0.0309022559417196;0.0286935530951542;0.0331076145576675;0.0210191132261718;0.0207564462223097;0.0213187050538179;0.0209070865034103;0.019878092436179;0.0218836926917473;0.0181031832396615;0.0142371278030859;0.0218559827897555;0;0;0
2017-03-17;0.212701391239048;0.207301733904072;0.218083321412328;0.131744755976317;0.127323152079653;0.136235488260583;0.123708425206702;0.121053938329943;0.126391528448309;0.122652332039184;0.119822776055848;0.125696255964158;0.0917200626854938;0.0895528332577338;0.0939527378004187;0.0907199884308531;0.0880913924905965;0.0934914808832487;0.0563153013687413;0.0537706325283609;0.0588289812212073;0.0342381029038368;0.0331013498652667;0.0354157341033028;0.0320622432908809;0.0312229742192096;0.0329214845027177;0.0308473574771425;0.0279222045818726;0.0339730573499137;0.0210459266332228;0.0206724495493458;0.0215009829421365;0.0208217516327415;0.0193481174900904;0.0222489091238392;0.0182692583714367;0.0130554516487612;0.0232111890965199;0;0;0
2017-03-18;0.212545547102066;0.206140489841932;0.219033568061881;0.132064952683482;0.126785003696873;0.137559379021537;0.123560353176667;0.120473533713742;0.126680752563391;0.123008031323535;0.119541251934897;0.126569421515341;0.0920760194461511;0.0895241198231149;0.094657620012855;0.0906126015418841;0.0876405895436945;0.093835159371929;0.0559601512725234;0.0529877374339174;0.059043548617543;0.0343675922963357;0.0330165247664311;0.0357196874936628;0.0320976714491734;0.0311145326488663;0.0331124044861418;0.0307039317826788;0.0272194851858283;0.0342474423118032;0.021065457700469;0.0206337288875915;0.021614695357677;0.0207378598927179;0.0190713081053169;0.0224032059225256;0.018335850680137;0.0121029890884787;0.0241988497843132;0;0;0
2017-03-19;0.212413111359008;0.20518352708648;0.219534079824077;0.132368959016004;0.126674668302639;0.138431396980135;0.123428645151543;0.120044252186349;0.127011894597516;0.123356708809998;0.119344977989498;0.127408914576627;0.0924571079735714;0.0895416029752955;0.095322784756541;0.0904914677934612;0.0869763025132753;0.0941339350710877;0.0556296680010471;0.0522857309400381;0.059148500779937;0.0344875774701946;0.0330143145543798;0.0361607815359311;0.0321355379670233;0.0309225092242838;0.03331209487004;0.0305208954388793;0.0266585638032132;0.0343726568076618;0.0210878098128784;0.020595916224886;0.0217399050009125;0.0206556691991449;0.0186919173672915;0.022569897560029;0.0184581290430078;0.011942695307645;0.025052970497044;0;0;0
2017-03-20;0.212169057284456;0.204566698643138;0.219762260274927;0.132734377567063;0.126578295841689;0.139232725019727;0.123279469855524;0.119531619068719;0.127108376208029;0.123663753554818;0.119379662793329;0.12808474105138;0.0927983370932821;0.0897292891270078;0.095965493639266;0.0903694183503693;0.0864301233769654;0.0942863524009047;0.0552883495717012;0.0514850860274255;0.0588974274344955;0.0346009111746394;0.0329758945038924;0.0363567541639444;0.0321635423811277;0.0308589284714557;0.0334943141278425;0.0303758352606609;0.0261916776915834;0.0345907300698939;0.0211143901015906;0.0205968975183399;0.0218405701157281;0.0205537212337275;0.0184546843834414;0.0226181760372731;0.0184921186619096;0.0117206796991601;0.0253378864999521;0;0;0
2017-03-21;0.212003841278978;0.2042091396148;0.219919237630324;0.133076300189078;0.126640791135242;0.139709216963732;0.123150660305881;0.119196411138471;0.127186957952288;0.124013404421366;0.119525747030314;0.128742603866283;0.093137308059496;0.0899764055219069;0.0965400788128428;0.0902260785200321;0.0860869747761066;0.0942475698377812;0.0549382050492083;0.0509897454797562;0.0586760763250573;0.0347381626805489;0.033104449889841;0.0366703897237678;0.0321979306569473;0.0308155484645435;0.0336523436902396;0.0302354494894693;0.025863621795437;0.0347087615717503;0.0211360407561485;0.0205895305299197;0.0219240772662741;0.0204722054938451;0.0182101436076973;0.0227206866333819;0.0186670982519407;0.011445646102234;0.0256442340600905;0;0;0
2017-03-22;0.211823927716424;0.203668976460991;0.220031093233304;0.133378757969736;0.126870149545624;0.139822617360887;0.123029332171296;0.118684738445507;0.127374633706216;0.124320857839491;0.119629255205761;0.129048119417899;0.0934867545049566;0.0901314363734429;0.0970670155061262;0.0900891724096129;0.0858627481146412;0.0944418916661028;0.0545538046929368;0.0504090562518831;0.0585062687042667;0.0348603877388901;0.0330865474053454;0.0368664988416445;0.0322323718919336;0.0307635234531727;0.0337392920722275;0.0301112828477788;0.0256088702965107;0.0346306210504101;0.0211593076873811;0.0205295528718934;0.022035131228507;0.0203791783971253;0.0179245731129819;0.0227925232646377;0.0187682587337381;0.0117176615092948;0.0255115922426384;0;0;0
2017-03-23;0.211645408580871;0.203509834695563;0.21985697396329;0.133780171532186;0.126885484885445;0.140536066840591;0.122868367918991;0.118451965901294;0.127323073176787;0.124582932741331;0.119905726912846;0.129583980112822;0.0938302953150606;0.0905420664796772;0.0975838463250734;0.0899694811921887;0.0854276135591464;0.0942790165861217;0.0541875094436541;0.0498536367062392;0.058283205874274;0.0349658945251667;0.0330991464733028;0.0370987679795405;0.032271062100277;0.0307106859889259;0.0338555274559743;0.0300087619308044;0.0255788974279724;0.0344687741087523;0.021178871061308;0.0205429975438285;0.0221046951816014;0.0202689772058711;0.0177410070121004;0.0226951991685736;0.0188656304324973;0.0119823509518476;0.0252977691998108;0;0;0
2017-03-24;0.211366968090767;0.20291532928397;0.219431331523172;0.134182217180565;0.127479188555349;0.141262518528933;0.122732416488776;0.118169996324982;0.127425449944816;0.124894829656307;0.12012679645963;0.129805636099765;0.0941992733741957;0.0907274450206021;0.0980955894938631;0.0898646031736006;0.0852817215547698;0.0943558556657253;0.0538163629419159;0.0494241671930468;0.0578560135468762;0.0350950091564909;0.0330611202907342;0.0371314213284815;0.0323153509501701;0.0306915999006815;0.0340086799686054;0.0298879709520289;0.0253556781322496;0.0342799128338804;0.0212042098619352;0.0205293826598078;0.0222381495490077;0.0201825695171603;0.0175790801635408;0.0226154819502115;0.0189538667643762;0.0125230019612096;0.025057842224065;0;0;0
