datum,partij,spend,spend_google_cum,spend_range_min,spend_range_max,spend_range_mid,spend_min_cum,spend_mid_cum,spend_max_cum,count_cum,maximum,minimum,midden,spend_max_tot,spend_min_tot,spend_mid_tot,week,maand
2020-12-29,VVD,,11650,0,0,0,17652,32112,46572,278,58222,29302,43762,0,0,0,2020-53,2020-12
2020-12-30,50Plus,,,100,199,150,600,1194,1788,12,1788,600,1194,199,100,150,2020-53,2020-12
2020-12-30,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2020-53,2020-12
2020-12-30,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2020-53,2020-12
2020-12-30,D66,,75000,0,0,0,6150,9916,13682,68,88682,81150,84916,0,0,0,2020-53,2020-12
2020-12-30,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2020-53,2020-12
2020-12-30,FvD,,0,4500,5498,4999,46901,62132,77363,237,77363,46901,62132,5498,4500,4999,2020-53,2020-12
2020-12-30,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2020-53,2020-12
2020-12-30,PvdA,,500,0,0,0,2451,9232,16013,137,16513,2951,9732,0,0,0,2020-53,2020-12
2020-12-30,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2020-53,2020-12
2020-12-30,SGP,,,0,0,0,2100,2694,3288,12,3288,2100,2694,0,0,0,2020-53,2020-12
2020-12-30,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2020-53,2020-12
2020-12-30,VVD,,11650,0,0,0,17652,32112,46572,278,58222,29302,43762,0,0,0,2020-53,2020-12
2020-12-31,50Plus,,,0,0,0,600,1194,1788,12,1788,600,1194,0,0,0,2020-53,2020-12
2020-12-31,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2020-53,2020-12
2020-12-31,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2020-53,2020-12
2020-12-31,D66,,75000,0,0,0,6150,9916,13682,68,88682,81150,84916,0,0,0,2020-53,2020-12
2020-12-31,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2020-53,2020-12
2020-12-31,FvD,,0,0,0,0,46901,62132,77363,237,77363,46901,62132,0,0,0,2020-53,2020-12
2020-12-31,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2020-53,2020-12
2020-12-31,PvdA,,500,0,0,0,2451,9232,16013,137,16513,2951,9732,0,0,0,2020-53,2020-12
2020-12-31,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2020-53,2020-12
2020-12-31,SGP,,,200,299,250,2300,2944,3587,13,3587,2300,2944,299,200,250,2020-53,2020-12
2020-12-31,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2020-53,2020-12
2020-12-31,VVD,,11650,0,0,0,17652,32112,46572,278,58222,29302,43762,0,0,0,2020-53,2020-12
2021-01-01,50Plus,,,0,0,0,600,1194,1788,12,1788,600,1194,0,0,0,2021-53,2021-01
2021-01-01,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2021-53,2021-01
2021-01-01,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2021-53,2021-01
2021-01-01,D66,,75000,0,0,0,6150,9916,13682,68,88682,81150,84916,0,0,0,2021-53,2021-01
2021-01-01,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2021-53,2021-01
2021-01-01,FvD,,0,0,0,0,46901,62132,77363,237,77363,46901,62132,0,0,0,2021-53,2021-01
2021-01-01,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2021-53,2021-01
2021-01-01,PvdA,,500,0,0,0,2451,9232,16013,137,16513,2951,9732,0,0,0,2021-53,2021-01
2021-01-01,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2021-53,2021-01
2021-01-01,SGP,,,0,0,0,2300,2944,3587,13,3587,2300,2944,0,0,0,2021-53,2021-01
2021-01-01,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2021-53,2021-01
2021-01-01,VVD,,11650,0,0,0,17652,32112,46572,278,58222,29302,43762,0,0,0,2021-53,2021-01
2021-01-02,50Plus,,,100,199,150,700,1344,1987,13,1987,700,1344,199,100,150,2021-53,2021-01
2021-01-02,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2021-53,2021-01
2021-01-02,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2021-53,2021-01
2021-01-02,D66,,75000,0,0,0,6150,9916,13682,68,88682,81150,84916,0,0,0,2021-53,2021-01
2021-01-02,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2021-53,2021-01
2021-01-02,FvD,,0,0,0,0,46901,62132,77363,237,77363,46901,62132,0,0,0,2021-53,2021-01
2021-01-02,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2021-53,2021-01
2021-01-02,PvdA,,500,0,0,0,2451,9232,16013,137,16513,2951,9732,0,0,0,2021-53,2021-01
2021-01-02,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2021-53,2021-01
2021-01-02,SGP,,,0,0,0,2300,2944,3587,13,3587,2300,2944,0,0,0,2021-53,2021-01
2021-01-02,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2021-53,2021-01
2021-01-02,VVD,,11650,0,0,0,17652,32112,46572,278,58222,29302,43762,0,0,0,2021-53,2021-01
2021-01-03,50Plus,,,0,0,0,700,1344,1987,13,1987,700,1344,0,0,0,2021-53,2021-01
2021-01-03,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2021-53,2021-01
2021-01-03,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2021-53,2021-01
2021-01-03,D66,,75000,2000,2499,2250,8150,12166,16181,69,91181,83150,87166,2499,2000,2250,2021-53,2021-01
2021-01-03,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2021-53,2021-01
2021-01-03,FvD,,0,0,0,0,46901,62132,77363,237,77363,46901,62132,0,0,0,2021-53,2021-01
2021-01-03,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2021-53,2021-01
2021-01-03,PvdA,,500,0,0,0,2451,9232,16013,137,16513,2951,9732,0,0,0,2021-53,2021-01
2021-01-03,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2021-53,2021-01
2021-01-03,SGP,,,0,0,0,2300,2944,3587,13,3587,2300,2944,0,0,0,2021-53,2021-01
2021-01-03,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2021-53,2021-01
2021-01-03,VVD,,11650,0,198,99,17652,32211,46770,280,58420,29302,43861,198,0,99,2021-53,2021-01
2021-01-04,50Plus,,,0,0,0,700,1344,1987,13,1987,700,1344,0,0,0,2021-01,2021-01
2021-01-04,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2021-01,2021-01
2021-01-04,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2021-01,2021-01
2021-01-04,D66,,75000,0,0,0,8150,12166,16181,69,91181,83150,87166,0,0,0,2021-01,2021-01
2021-01-04,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2021-01,2021-01
2021-01-04,FvD,,0,0,0,0,46901,62132,77363,237,77363,46901,62132,0,0,0,2021-01,2021-01
2021-01-04,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2021-01,2021-01
2021-01-04,PvdA,,500,0,99,50,2451,9282,16112,138,16612,2951,9782,99,0,50,2021-01,2021-01
2021-01-04,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2021-01,2021-01
2021-01-04,SGP,,,0,0,0,2300,2944,3587,13,3587,2300,2944,0,0,0,2021-01,2021-01
2021-01-04,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2021-01,2021-01
2021-01-04,VVD,,11650,0,0,0,17652,32211,46770,280,58420,29302,43861,0,0,0,2021-01,2021-01
2021-01-05,50Plus,,,0,99,50,700,1393,2086,14,2086,700,1393,99,0,50,2021-01,2021-01
2021-01-05,CDA,,1650,0,0,0,30500,35776,41052,48,42702,32150,37426,0,0,0,2021-01,2021-01
2021-01-05,ChristenUnie,,,0,0,0,1700,2542,3383,17,3383,1700,2542,0,0,0,2021-01,2021-01
2021-01-05,D66,,75000,0,0,0,8150,12166,16181,69,91181,83150,87166,0,0,0,2021-01,2021-01
2021-01-05,DENK,,,0,0,0,600,1095,1590,10,1590,600,1095,0,0,0,2021-01,2021-01
2021-01-05,FvD,,0,100,298,199,47001,62331,77661,239,77661,47001,62331,298,100,199,2021-01,2021-01
2021-01-05,GroenLinks,,17450,0,0,0,7150,10764,14377,73,31827,24600,28214,0,0,0,2021-01,2021-01
2021-01-05,PvdA,,500,0,99,50,2451,9331,16211,139,16711,2951,9831,99,0,50,2021-01,2021-01
2021-01-05,PvdD,,,0,0,0,2250,2993,3735,15,3735,2250,2993,0,0,0,2021-01,2021-01
2021-01-05,SGP,,,0,99,50,2300,2993,3686,14,3686,2300,2993,99,0,50,2021-01,2021-01
2021-01-05,SGP,,,0,99,50,2300,3043,3785,15,3785,2300,3043,99,0,50,2021-01,2021-01
2021-01-05,SP,,,0,0,0,13000,16325,19649,51,19649,13000,16325,0,0,0,2021-01,2021-01
2021-01-05,VVD,,11650,0,0,0,17652,32211,46770,280,58420,29302,43861,0,0,0,2021-01,2021-01
